Herb_	Herb_pinyin_name	Herb_cn_name	Herb_en_name	Herb_latin_name	Properties	Meridians	UsePart	Function	Indication	Toxicity	Clinical_manifestations	Therapeutic_en_class	Therapeutic_cn_class	TCMID_id	TCM_ID_id	SymMap_id	TCMSP_id
HERB005777	WU ZEI GU	乌贼骨	Cuttlefish bone, Cuttlebone	Os Sepiae seu SepiellaeZoological Name	Minor Warm; Salty	Stomach; Liver	NA	Treatment of: 1. Hemorrhage. Cuttlefish bone (Wuzeigu) is used with Rubia root (Qiancao), Carbonized petiole of windmill palm (Zonglutan) and Donkey hide gelatin (Ejiao). Cuttlefish bone (Wuzeigu) can be used alone for bleeding due to external injuries. 2. Deficiency of the kidneys manifested as seminal emissions or leukorrhea. Cuttlefish bone (Wuzeigu) is used with Dogwood fruit (Shanzhuyu), Dioscorea (Shanyao), Dadder seed (Tusizi) and Oyster shell (Muli). 3. Stomach pain and acid regurgitation. Cuttlefish bone (Wuzeigu) is used with Tendrilled fritillary bulb (Chuanbeimu) in the formula Wu Bei San. 4. Eczema or chronic ulcers. Cuttlefish bone (Wuzeigu) is used with Phellodendron bark (Huangbai) and Natural indigo (Qingdai) for external use in powder form.	Treatment of: 1. Hemorrhage. Cuttlefish bone (Wuzeigu) is used with Rubia root (Qiancao), Carbonized petiole of windmill palm (Zonglutan) and Donkey hide gelatin (Ejiao). Cuttlefish bone (Wuzeigu) can be used alone for bleeding due to external injuries. 2	NA	NA	Astriction	收涩	NA	6443	NA	732
HERB005778	WU ZHAO LONG	五爪龙	Cairo Morningglory	Ipomoea cairica [Syn. Ipomoea palmata ]	Cold; Sweet; Bitter	Lung; Large Intestine; Liver	Root or stem-leaf	To clear heat and resolve toxin, disinhibit water and free strangury.	Lung heat cough, inhibited urination, strangury, edema, swollen welling abscess and toxin of clove.	NA	NA	NA	NA	NA	1152	NA	733
HERB005779	WU ZHU FEI YAN CAO	飞燕草	Fivestyle Larkspur	Delphinium pentagynum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1130	NA	NA
HERB005780	WU ZHU MAI DA JI	NA	NA	Euphorbia quinquecostata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6840	NA	NA
HERB005781	WU ZHU YE GEN	吴茱萸根	Evodia rutaecarpa(Juss.)Benth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5100	NA	NA
HERB005782	WU ZHU YU	吴茱萸	Medicil Evodia Fruit	Fructus Evodiae	Pungent;  bitter;  hot	Liver;  spleen; stomach	fruit	1. To dispel cold and stop pain; 2. To pacify the liver and direct rebellious qi downward; 3. To stop vomiting	Dysentery, cold pain in stomach duct and abdomen, reverting yin headache, mounting qi , dysmenorrhea, beriberi with edema, hyperchlorhydria, cold-damp diarrhea.	slightly toxic	1. Its volatile oil containing evoden inhibits the abnormal fermentation in the intestine.2. Evodin, evodiamine and rutaecarpine, are active components for analgesic.3. Oral administration or injection can lower blood pressure in normal animals or those w	Warming Interior Drugs	温里药	SMHB00418	7935	418	1060
HERB005783	WU ZHU YU YE	吴茱萸叶	Folium Evodiae rutaecarpae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5400	NA	NA
HERB005784	WULU BA DOU	NA	Wru Croton	Croton urucurana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6420	NA	NA
HERB005785	XI A LA HUANG TAN	西阿拉黄檀	Cearen Rosewood	Dalbergia cearensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8053	NA	NA
HERB005786	XIA XU TANG SONG CAO	狭序唐松草	Narrowraceme Meadowrue	Thalictrum atriplex	NA	NA	rhizome and root	To clear heat and resolve toxin, cool liver, check dysentery.	Swelling and toxin of sore and welling abscess, damp-heat jaundice, dysentery, conjunctivitis.	NA	NA	NA	NA	NA	7355	NA	NA
HERB005787	XI A XUE PIAN LIAN	NA	Summer Snowflake	Leucojum aestivum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6777	NA	NA
HERB005788	XI AO TANG SONG CAO	NA	Low Meadowrue	Thalictrum minus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7371	NA	NA
HERB005789	XI BAN WU TOU	膝瓣乌头	Geniculate Monkshood	Aconitum geniculatum	NA	NA	tuberoid	To dispel wind and dissipate cold, quicken blood and relieve pain, resolve toxin and disperse swelling.	Wind-cold-damp impediment, reversal cold of limbs, knocks and falls, sore toxin.	NA	NA	NA	NA	NA	7150	NA	NA
HERB005790	XI BAN YA HUANG YANG	西班牙黄杨	Balearic Box	Buxus balearica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1808	NA	NA
HERB005791	XI BAN YA YUN XIANG CAO	西班牙云香草	Spanish Haplophyllum	Haplophyllum hispanicum	NA	NA	NA	Anticarcinoma.	NA	NA	NA	NA	NA	NA	4348	NA	NA
HERB005792	XI BEI MU	西北木	Crown Imperial	Fritillaria imperialis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7248	NA	NA
HERB005793	XI BING MU JIANG ZI	木酱紫	Slenderstalk Litse	Litsea gracilipes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5161	NA	NA
HERB005794	XI BING SHI DA GONG LAO	细柄十大功劳	Subtriplinerved Mahonia	Mahonia gracilipes	NA	NA	root and stem	See Mahonia confusa.	See Mahonia confusa.	NA	NA	NA	NA	NA	5424	NA	NA
HERB005795	XI BING SHU YU	细柄薯蓣	Thinstiped Yam	Dioscorea tenuipes	NA	NA	rhizome	To dispel wind-damp, soothe sinews and quicken network vessels.	Wind-damp impediment pain, hypertonicity of sinews and vessels, numbness in limbs, knocks and falls, taxation damage hypodynamia.	NA	NA	NA	NA	NA	1795	NA	NA
HERB005796	XI BO DE QI MU	NA	Siebold Alder	Alnus sieboldiana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5142	NA	NA
HERB005797	XI BO JIN HE HUAN	锡箔金合欢	Sieber Acacia	Acacia sieberiana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2119	NA	NA
HERB005798	XI BO JUE MING	锡箔决明	Sieber Senna	Cassia sieberiana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7987	NA	NA
HERB005799	XI BO LI YA HONG SONG	西伯利亚红松	Siberian Stone Pine	Pinus sibirica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6649	NA	NA
HERB005800	XI BO LI YA LENG SHAN	西伯利亚冷杉	Siberian Fir	Abies sibirica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6365	NA	NA
HERB005801	XI BO LI YA LIAO[YN	NA	Siberian Knotweed	Polygonum sibiricum [Syn. Persicaria sibirica ]	NA	NA	rhizome	To course wind and clear heat, disinhibit water and disperse edema.	Red eyes with gall, damp itchy skin, edema, ascites (hydroperitoneum).	NA	NA	NA	NA	NA	3843	NA	NA
HERB005802	XI BO LI YA TOU WU	西伯利亚橐吾	Siberian Goldenray	Ligularia sibirica	NA	NA	root and rhizome	See Ligularia fischeri.	See Ligularia fischeri.	NA	NA	NA	NA	NA	5781	NA	NA
HERB005803	XI BO LI YA YUAN ZHI	西伯利亚远志	Siberian Milkwort	Polygala sibirica	NA	NA	root	See Polygala tenuifolia .	See Polygala tenuifolia .	NA	NA	NA	NA	NA	5494	NA	NA
HERB005804	XI BO LI YA YUN SHAN	西伯利亚云杉	Siberian Spruce	Picea obovata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6223	NA	NA
HERB005805	XI BO SHI WEI MAO	西博氏卫矛	Seibo Euonymus	Euonymus sieboldianus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4583	NA	NA
HERB005806	XI CAO	西草	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5919	NA	NA
HERB005807	XI CHANG NAN MEI DOU	NA	NA	Anadenanthera colubrine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1169	NA	NA
HERB005808	XI CHUAN XIONG	西川芎	Chuanxiong rhizome, Szechuan lovage root	Radix chuanxiong；Rhizoma Chuanxiong	Warm; Pungent	Liver; Cardiovascular; Gallbladder	Ligusticum chuanxiong Hort.	Treatment of menstrual disorders, amenorrhea, dysmenorrhea, abdominal pain with mass formation, pricking pain in the chest and costal regions, swelling and pain due to traumatic injury, headache, rheumatic arthralgia.	1. Its active component, tetramethylpyrazine, can dilate the coronary artery and increase the coronary flow.2. Its aqueous solution and alcoholic infusion can lower blood pressure.3. Its alkaloids, ferulic acid and cnidilide are antispasmodics.4. Inhibiting the egrowth of intestinal gram-negative bacteria and skinfungi.	NA	1. Its active component, tetramethylpyrazine, can dilate the coronary artery and increase the coronary flow.2. Its aqueous solution and alcoholic infusion can lower blood pressure.3. Its alkaloids, ferulic acid and cnidilide are antispasmodics.4. Inhibiti	Blood activation and stasis removal	活血化淤	SMHB00077	5859	NA	734
HERB005809	XI DANG	西党	root Pilose Asiabell	Radix Codonopsis pilosulae	Mild; Sweet	NA	Codonopsis pilosula (Franch.) Nannf.; Codonopsis pilosula Nannf. var. modesta (Nannf.) L. T. Shen；Codonopsis tangshen Oliv. 	Treatment of weakness of the spleen and the lung manifested by shortness of breath, cough, palpitation, anorexia, loose stools, diabetes caused by internal heat.	Treatment of weakness of the spleen and the lung manifested by shortness of breath, cough, palpitation, anorexia, loose stools, diabetes caused by internal heat.	NA	NA	For tonifying weakness	补虚	SMHB00096	6575	NA	735
HERB005810	XI DIAN ZHANG YA CAI	新店獐牙菜	Punctate Swertia	Swertia punctata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2750	NA	NA
HERB005811	XI FAN LIAN	西番莲	Passionflower	Passiflora caerulea	NA	NA	whole herb	To dispel wind and eliminate damp, quicken blood and relieve pain.	Common cold with headache, nasal congestion and runny nose, pain in joints due to rheumatalgia, mounting qi , dysmenorrhea, neuralgia, insomnia, diarrhea.	NA	NA	NA	NA	NA	7337	NA	NA
HERB005812	XI FANG CANG ER	西方苍耳	Occidental Cocklebur	Xanthium occidentale	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7204	NA	NA
